201006,"W-1759-QN [Panther]",08551838389,200,356307048825318,"2021-08-06 03:50:03"
202296,"B-1497-CLR [Fortuner",081514016277,200,352093082595157,"2021-08-06 03:40:07"
515033,"PC200 21",08113370560,1,352848029477631,"2021-08-06 03:34:20"
202475,B-9447-CXS,081132020926,202,864403041494486,"2021-05-12 11:11:08"
202581,B-9588-CXR,08551838314,202,864403041506396,"2021-05-12 10:03:07"
202603,B-9187-CXR,081513701508,202,864403041450579,"2021-05-12 11:00:00"
202562,B-9710-CXS,08551838478,202,867060031290394,"2021-05-12 10:00:18"
202511,B-9554-CXS,081132261480,202,864403041492597,"2021-05-12 11:15:06"
202263,"B-1173-CZO [Xpander ",08551838470,200,352094088327546,"2021-08-06 03:49:32"
202567,B-9713-CXS,08551838462,202,867060031263391,"2021-05-12 09:49:43"
202058,"B-3672-CKO [Beat]",081514008446,200,352093082524470,"2021-06-02 06:01:00"
202547,B-9609-CXS,08551838428,202,864403042092669,"2021-05-12 13:12:25"
202437,B-9272-CXS,081132023105,202,867060031279702,"2021-05-12 11:00:09"
202465,B-9396-CXS,081514015535,202,867060034765905,"2021-05-12 11:03:49"
202031,"W-4765-WE [Motor]",08551838311,200,356173066130647,"2021-07-20 20:56:54"
202101,B-9508-CXR,081132275040,202,356173066691606,"2021-06-02 04:51:01"
202452,B-9399-CXS,081514007564,202,867060034786265,"2021-05-12 10:57:36"
201269,W-9211-UP,081132021224,201,867060031253913,"2021-05-06 09:07:08"
201119,"L-1289-EO [Veloz]",08551838373,200,352094089899287,"2021-08-06 03:47:01"
202512,B-9588-CXS,08551838378,202,864403043564153,"2021-05-12 11:11:01"
202598,B-9644-CXR,081132020523,202,867060031281658,"2021-05-12 13:31:24"
202564,B-9725-CXS,08551838472,202,864403042649468,"2021-05-12 09:53:42"
202574,B-9584-CXR,08551842015,202,867060031284298,"2021-05-12 10:00:26"
202456,B-9271-CXS,081132023731,202,867060034752317,"2021-05-12 09:59:56"
202431,B-9285-CXS,081514007367,202,867060034763645,"2021-05-12 11:03:07"
202442,B-9829-CXR,08551838406,202,864403042122128,"2021-05-12 10:48:55"
